division,category,Matrisome Class / Protein Family,geneid,FlyBase Link,Gene Name,UniProt ID,UniProt Protein Name,InterPro Domains,Gene Ontology _Cellular component,Gene Ontology_Biological process,Human Orthologs,Other Gene Names,combined_orthology,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins,Spondin,FBgn0050046,FBgn0050046,CG30046,A1Z8W6;Q8T988,"CG1791, isoform C",IPR036383;IPR002861;IPR038678;IPR036880;IPR000884;IPR009465,proteinaceous extracellular matrix [GO:0005578],,SPON1,CG17740 CG30046-RB CG30046 Dmel_CG30046,SPON1,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins,Spondin,FBgn0050203,FBgn0050203,CG30203,Q3ZAL6,SD21168p,IPR002223;IPR002861;IPR036383;IPR038678;IPR036880;IPR000884;IPR009465,proteinaceous extracellular matrix [GO:0005578],,SPON1,CG17740 CG30203 Dmel_CG30203,SPON1,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins,Spondin,FBgn0026721,FBgn0026721,fat-spondin,Q7KN04;Q95S22,Fat-spondin (GH05860p),IPR002223;IPR002861;IPR036383;IPR038678;IPR020901;IPR036880;IPR000884;IPR009465,extracellular region [GO:0005576]; proteinaceous extracellular matrix [GO:0005578],,SPON1; SPON2; ADAMTS9,fat-spondin CG6953 Dmel_CG6953,SPON1; SPON2; ADAMTS9,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins,Spondin,FBgn0020269,FBgn0020269,mspo,O02029;Q7JY80,"M-spondin, isoform A (M-spondin, isoform B) (RE52725p)",IPR009465;IPR036383;IPR000884;IPR038678,proteinaceous extracellular matrix [GO:0005578],regulation of myoblast fusion [GO:1901739],SPON1; SPON2,mspo CG10145 Dmel_CG10145,SPON1; SPON2,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins,Spondin,FBgn0033710,FBgn0033710,CG17739,Q7K3Y9,GH02025p,IPR002223; IPR036880; IPR002861; IPR042307; IPR009465; IPR038678; IPR000884; IPR036383,extracellular matrix [GO:0031012],cell adhesion [GO:0007155]; negative regulation of endopeptidase activity [GO:0010951],SPON1; SPON2; RELN,Dmel_CG17739,SPON1; SPON2; RELN,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins,,FBgn0035798,FBgn0035798,frac,M9PHP7;Q8MQJ4;Q9VS89,"Faulty attraction, isoform F (Faulty attraction, isoform G)",IPR000152;IPR018097;IPR009030;IPR000436;IPR035976;IPR000742;IPR026823;IPR001881;IPR013032;IPR003410,,axon target recognition [GO:0007412],EYS; FBLN1; FBLN2; FBLN5; FBLN7; FBN1; FBN2; FBN3; LTBP2; MATN2; VWA2; COL6A5; SCUBE1; SCUBE2; SCUBE3,frac CT16044 Dmel\CG7526 CG7526 Dmel_CG7526,EYS; FBLN1; FBLN2; FBLN5; FBLN7; FBN1; FBN2; FBN3; LTBP2; MATN2; VWA2; COL6A5; SCUBE1; SCUBE2; SCUBE3,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins,,FBgn0262169,FBgn0262169,magu,A4UZB1;Q0E9E0;Q86MK1;Q95TQ2,"Magu, isoform F",IPR018247;IPR000716;IPR011992;IPR036857;IPR002350;IPR019577;IPR002048,extracellular region [GO:0005576]; proteinaceous extracellular matrix [GO:0005578],determination of adult lifespan [GO:0008340]; germ-line stem cell population maintenance [GO:0030718]; positive regulation of BMP signaling pathway [GO:0030513]; regulation of BMP signaling pathway [GO:0030510]; regulation of imaginal disc-derived wing size [GO:0044719]; signal transduction [GO:0007165],IGFBP1; IGFBP2; IGFBP3; IGFBP4; IGFBP5; IGFBP6; SMOC1; SMOC2; SPARC; SPARCL1; SPOCK1; SPOCK2,magu CG2264 Dmel_CG2264,IGFBP1; IGFBP2; IGFBP3; IGFBP4; IGFBP5; IGFBP6; SMOC1; SMOC2; SPARC; SPARCL1; SPOCK1; SPOCK2,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins,,FBgn0003137,FBgn0003137,Ppn,Q868Z9;Q95SR4,Papilin,IPR003599;IPR007110;IPR013783;IPR002223;IPR013098;IPR003598;IPR010909;IPR036383;IPR013273;IPR010294;IPR020901;IPR036179;IPR036880;IPR000884;IPR008197;IPR036645,basement membrane [GO:0005604],extracellular matrix organization [GO:0030198]; multicellular organism development [GO:0007275],HMCN1; PAPLN; THSD4; VWA7; COL6A3; ADAMTS10; ADAMTS12; ADAMTS13; ADAMTS16; ADAMTS17; ADAMTS18; ADAMTS19; ADAMTS6; ADAMTS7; ADAMTSL1; ADAMTSL4; ADAMTSL5; AMBP; WFIKKN1,Ppn CG33103,HMCN1; PAPLN; THSD4; VWA7; COL6A3; ADAMTS10; ADAMTS12; ADAMTS13; ADAMTS16; ADAMTS17; ADAMTS18; ADAMTS19; ADAMTS6; ADAMTS7; ADAMTSL1; ADAMTSL4; ADAMTSL5; AMBP; WFIKKN1,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins,,FBgn0011828,FBgn0011828,Pxn,Q9VZZ4,Peroxidasin (EC 1.11.1.7),IPR003599;IPR007110;IPR036179;IPR037120;IPR019791;IPR003598;IPR003591;IPR010255;IPR013783;IPR001007;IPR034824;IPR001611;IPR034828;IPR032675;IPR000372;IPR013098,extracellular space [GO:0005615]; proteinaceous extracellular matrix [GO:0005578],extracellular matrix organization [GO:0030198]; hydrogen peroxide catabolic process [GO:0042744]; phagocytosis [GO:0006909]; response to oxidative stress [GO:0006979],PXDN; PXDNL; PRG2; EPO; TPO,Pxn CG12002,PXDN; PXDNL; PRG2; EPO; TPO,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins,,FBgn0264089,FBgn0264089,sli,A0A0B4KES0;P24014,Protein slit (dSlit) [Cleaved into: Protein slit N-product; Protein slit C-product],IPR006207;IPR000152;IPR018097;IPR000742;IPR009030;IPR032675;IPR003591;IPR001611;IPR013320;IPR001881;IPR013032;IPR001791;IPR000483;IPR000372,extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]; proteinaceous extracellular matrix [GO:0005578]; Slit-Robo signaling complex [GO:0071666],"axon guidance [GO:0007411]; axon midline choice point recognition [GO:0016199]; dendrite morphogenesis [GO:0048813]; digestive tract mesoderm development [GO:0007502]; embryonic heart tube development [GO:0035050]; epithelial cell migration, open tracheal system [GO:0007427]; glial cell migration [GO:0008347]; gonad development [GO:0008406]; induction of negative chemotaxis [GO:0050929]; lateral inhibition [GO:0046331]; mesodermal cell migration [GO:0008078]; mesoderm migration involved in gastrulation [GO:0007509]; neuron differentiation [GO:0030182]; neuron migration [GO:0001764]; outflow tract morphogenesis [GO:0003151]; positive regulation of cell-cell adhesion [GO:0022409]; regulation of epithelial cell migration [GO:0010632]; regulation of epithelial cell migration, open tracheal system [GO:2000274]; Roundabout signaling pathway [GO:0035385]; salivary gland boundary specification [GO:0007432]",ECM2; SLIT1; SLIT2; SLIT3; NYX,sli CG43758,ECM2; SLIT1; SLIT2; SLIT3; NYX,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins,,FBgn0034070,FBgn0034070,SP2353,A1ZA87;Q8MRN8;Q9NGV2,"SP2353, isoform A (SP2353, isoform B)",IPR001881;IPR013032;IPR013320;IPR000742;IPR001791,cell [GO:0005623]; extracellular space [GO:0005615],defense response to Gram-negative bacterium [GO:0050829]; muscle cell cellular homeostasis [GO:0046716]; negative regulation of innate immune response [GO:0045824]; rhabdomere development [GO:0042052],AGRN; EGFLAM; EYS; HSPG2,SP2353 CG8403 Dmel_CG8403,AGRN; EGFLAM; EYS; HSPG2,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins,,FBgn0026562,FBgn0026562,SPARC,O97365;Q8SY75,"BM-40 (MIP10412p1) (Secreted protein, acidic, cysteine-rich, isoform A) (Secreted protein, acidic, cysteine-rich, isoform B)",IPR018247;IPR019577;IPR011992;IPR001999;IPR037641,extracellular space [GO:0005615]; proteinaceous extracellular matrix [GO:0005578],anterior Malpighian tubule development [GO:0061327]; basement membrane assembly [GO:0070831]; cell adhesion [GO:0007155]; extracellular matrix constituent secretion [GO:0070278]; larval fat body development [GO:0007504]; larval feeding behavior [GO:0030536]; Malpighian tubule morphogenesis [GO:0007443]; mesoderm development [GO:0007498]; signal transduction [GO:0007165]; trachea development [GO:0060438],SPARC; SPARCL1; SPOCK1; SPOCK2; SPOCK3,SPARC BM-40-SPARC BM-40-SPARC-RA BM-40/SPARC CG6378 Dmel_CG6378,SPARC; SPARCL1; SPOCK1; SPOCK2; SPOCK3,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins,,FBgn0034709,FBgn0034709,Swim,Q7JWQ7;Q95S79,"RE01730p (Secreted Wg-interacting molecule, isoform A) (Secreted Wg-interacting molecule, isoform B) (EC 3.4.22.-)",IPR013128;IPR038765;IPR025661;IPR000668;IPR001212;IPR025660,chorion [GO:0042600]; extracellular space [GO:0005615],cell adhesion [GO:0007155]; immune response [GO:0006955]; positive regulation of Wnt signaling pathway [GO:0030177]; positive regulation of Wnt signaling pathway by establishment of Wnt protein localization to extracellular region [GO:0035593]; sleep [GO:0030431],TINAG; TINAGL1,Swim CG3074 Dmel_CG3074,TINAG; TINAGL1,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins,,FBgn0031850,FBgn0031850,Tsp,B7Z030;Q8T0I9;Q968S4;Q9U3W8;Q9VM97,"Thrombospondin, isoform A (Thrombospondin, isoform F)",IPR000152;IPR018097;IPR000742;IPR028974;IPR024665;IPR017897;IPR009030;IPR013320;IPR008859;IPR003367;IPR001881;IPR013032;IPR037349,extracellular matrix [GO:0031012]; muscle tendon junction [GO:0005927]; protein complex [GO:0043234],cell adhesion mediated by integrin [GO:0033627]; muscle attachment [GO:0016203]; muscle organ development [GO:0007517],COMP; NELL1; NELL2; THBS1; THBS2; THBS3; THBS4,Tsp CT31613 D-TSP Dmel\CG11326 DTSP SP295 tsp CG11326 Dmel_CG11326,COMP; NELL1; NELL2; THBS1; THBS2; THBS3; THBS4,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,Proteoglycans,Basement Membrane,FBgn0284408,FBgn0284408,trol,A0A023GRW4;E1JJC0;M9NDL5;M9NDM1;M9NE56;M9NE61;M9NES6;M9NET2;M9NFR6;M9NFS1;M9NGK3;M9NGL3;Q8IRV7;Q8IRV8;Q8IRV9;Q8MPN3;Q8MRK1;Q8MSR5;Q95S84;Q9NEF8;Q9NEF9;Q9NEG0;Q9NEG1;Q9NFS9;Q9W4Y3;Q9W4Y4;X2JAC7;X2JCE8;X2JDK9;X2JE09,"Terribly reduced optic lobes, isoform AH",IPR003599;IPR007110;IPR036179;IPR023415;IPR000742;IPR013098;IPR003598;IPR013783;IPR002049;IPR000034;IPR013320;IPR036055;IPR002172;IPR013032;IPR001791;IPR013151,,defasciculation of motor neuron axon [GO:0007415]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; motor neuron axon guidance [GO:0008045]; positive regulation of semaphorin-plexin signaling pathway [GO:2001262]; response to anesthetic [GO:0072347],AGRN; EGFLAM; EYS; HSPG2,trol CG33950 Dmel_CG33950,AGRN; EGFLAM; EYS; HSPG2,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,Proteoglycans,,FBgn0039054,FBgn0039054,Cow,A0A0B4KH80;Q9VCR3,Proteoglycan Cow (Carrier of wingless) (Carrier of wg),IPR036058;IPR018247;IPR000716;IPR011992;IPR036857;IPR002350;IPR019577,extracellular space [GO:0005615]; proteinaceous extracellular matrix [GO:0005578],establishment of protein localization to extracellular region [GO:0035592]; extracellular transport [GO:0006858]; regulation of Wnt signaling pathway [GO:0030111]; signal transduction [GO:0007165],SPOCK1; SPOCK2; SPOCK3,Cow CG13830,SPOCK1; SPOCK2; SPOCK3,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,Proteoglycans,,FBgn0031414,FBgn0031414,eys,A0A1F4;M9PBU9,Protein eyes shut (Protein spacemaker),IPR000152;IPR018097;IPR000742;IPR013320;IPR001881;IPR013032;IPR001791,cell surface [GO:0009986]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; non-motile cilium [GO:0097730],cell morphogenesis [GO:0000902]; rhabdomere development [GO:0042052]; temperature compensation of the circadian clock [GO:0010378],AGRN; EGFLAM; EYS; FBLN7; LTBP1; MATN3; SNED1; SVEP1; VWA1; VWCE; COL14A1; COL22A1; HSPG2; F12; HABP2; CFC1; CFC1B; EGFL7; HGFAC; SCUBE2; SCUBE3; TDGF1,eys spam CG33955,AGRN; EGFLAM; EYS; FBLN7; LTBP1; MATN3; SNED1; SVEP1; VWA1; VWCE; COL14A1; COL22A1; HSPG2; F12; HABP2; CFC1; CFC1B; EGFL7; HGFAC; SCUBE2; SCUBE3; TDGF1,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,Annexin,FBgn0000084,FBgn0000084,AnxB10,P22465,Annexin B10 (Annexin X) (Annexin-10),IPR018252;IPR001464;IPR018502;IPR037104,membrane [GO:0016020],,ANXA1; ANXA10; ANXA11; ANXA13; ANXA2; ANXA3; ANXA4; ANXA5; ANXA6; ANXA7; ANXA8; ANXA8L1; ANXA9,AnxB10 AnnX CG9579,ANXA1; ANXA10; ANXA11; ANXA13; ANXA2; ANXA3; ANXA4; ANXA5; ANXA6; ANXA7; ANXA8; ANXA8L1; ANXA9,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,Annexin,FBgn0030749,FBgn0030749,AnxB11,Q9VXG4,Annexin B11,IPR018252;IPR001464;IPR018502;IPR037104,,,ANXA1; ANXA10; ANXA11; ANXA13; ANXA2; ANXA3; ANXA4; ANXA5; ANXA6; ANXA7; ANXA8; ANXA8L1; ANXA9,AnxB11 CG9968,ANXA1; ANXA10; ANXA11; ANXA13; ANXA2; ANXA3; ANXA4; ANXA5; ANXA6; ANXA7; ANXA8; ANXA8L1; ANXA9,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,Annexin,FBgn0000083,FBgn0000083,AnxB9,A0A0B4KH34;P22464,Annexin B9 (Annexin IX) (Annexin-9),IPR018252;IPR001464;IPR018502;IPR037104,cell cortex [GO:0005938]; endomembrane system [GO:0012505],basolateral protein localization [GO:0061467]; endosome transport via multivesicular body sorting pathway [GO:0032509]; maintenance of cell polarity [GO:0030011]; regulation of multivesicular body size involved in endosome transport [GO:0010797]; wing disc dorsal/ventral pattern formation [GO:0048190],ANXA1; ANXA10; ANXA11; ANXA13; ANXA2; ANXA3; ANXA4; ANXA5; ANXA6; ANXA7; ANXA8; ANXA8L1; ANXA9,AnxB9 AnnIX CG5730,ANXA1; ANXA10; ANXA11; ANXA13; ANXA2; ANXA3; ANXA4; ANXA5; ANXA6; ANXA7; ANXA8; ANXA8L1; ANXA9,,
Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated,C-type Lectin,FBgn0033067,FBgn0033067,CG11211,Q7JWF7,RH26557p,IPR016187;IPR016186;IPR001304;IPR018378,,,COLEC11,CG11211 Dmel_CG11211,COLEC11,,
